Nodal displacements
node#      x          y          u          v
    1    1.000000    0.000000   -2.014707    0.000000
    2    1.041142    0.034083   -2.060301    0.125396
    3    1.083333    0.000000   -2.096748    0.000000
    4    1.124498    0.036812   -2.123637    0.110935
    5    1.166667    0.000000   -2.147853    0.000000
    6    1.207854    0.039541   -2.163283    0.100936
    7    1.250000    0.000000   -2.180446    0.000000
    8    1.291209    0.042270   -2.188846    0.093980
    9    1.333333    0.000000   -2.202037    0.000000
   10    1.374565    0.044999   -2.206169    0.089140
   11    1.416667    0.000000   -2.217252    0.000000
   12    1.457921    0.047727   -2.218864    0.085788
   13    1.500000    0.000000   -2.228984    0.000000
   14    1.541276    0.050456   -2.229188    0.083490
   15    1.583333    0.000000   -2.239050    0.000000
   16    1.624632    0.053185   -2.238556    0.081934
   17    1.666667    0.000000   -2.248591    0.000000
   18    1.707988    0.055914   -2.247846    0.080893
   19    1.750000    0.000000   -2.258317    0.000000
   20    1.791343    0.058643   -2.257594    0.080197
   21    1.833333    0.000000   -2.268654    0.000000
   22    1.874699    0.061371   -2.268110    0.079711
   23    1.916667    0.000000   -2.279842    0.000000
   24    1.958055    0.064100   -2.279554    0.079328
   25    2.000000    0.000000   -2.291997    0.000000
   26    2.041410    0.066829   -2.291987    0.078958
   27    2.083333    0.000000   -2.305149    0.000000
   28    2.124766    0.069558   -2.305399    0.078520
   29    2.166667    0.000000   -2.319268    0.000000
   30    2.208121    0.072286   -2.319728    0.077939
   31    2.250000    0.000000   -2.334276    0.000000
   32    2.291477    0.075015   -2.334876    0.077142
   33    2.333333    0.000000   -2.350062    0.000000
   34    2.374833    0.077744   -2.350708    0.076051
   35    2.416667    0.000000   -2.366478    0.000000
   36    2.458188    0.080473   -2.367060    0.074582
   37    2.500000    0.000000   -2.383346    0.000000
   38    2.541544    0.083202   -2.383734    0.072639
   39    2.583333    0.000000   -2.400449    0.000000
   40    2.624900    0.085930   -2.400495    0.070111
   41    2.666667    0.000000   -2.417530    0.000000
   42    2.708255    0.088659   -2.417064    0.066864
   43    2.750000    0.000000   -2.434276    0.000000
   44    2.791611    0.091388   -2.433106    0.062737
   45    2.833333    0.000000   -2.450313    0.000000
   46    2.874967    0.094117   -2.448219    0.057532
   47    2.916667    0.000000   -2.465181    0.000000
   48    2.958322    0.096845   -2.461912    0.051000
   49    3.000000    0.000000   -2.478316    0.000000
   50    0.997859    0.065403   -2.009813    0.268580
   51    1.036952    0.102131   -2.048058    0.375843
   52    1.081281    0.070871   -2.089476    0.234127
   53    1.120486    0.110358   -2.107350    0.332733
   54    1.164704    0.076339   -2.138878    0.210418
   55    1.204020    0.118586   -2.144100    0.302989
   56    1.248127    0.081807   -2.170240    0.193962
   57    1.287554    0.126813   -2.167563    0.282345
   58    1.331549    0.087274   -2.190927    0.182507
   59    1.371088    0.135040   -2.183339    0.268015
   60    1.414972    0.092742   -2.205467    0.174553
   61    1.454622    0.143268   -2.194867    0.258120
   62    1.498394    0.098210   -2.216678    0.169072
   63    1.538156    0.151495   -2.204278    0.251359
   64    1.581817    0.103678   -2.226326    0.165340
   65    1.621689    0.159722   -2.212896    0.246804
   66    1.665239    0.109146   -2.235514    0.162834
   67    1.705223    0.167950   -2.221531    0.243775
   68    1.748662    0.114613   -2.244919    0.161164
   69    1.788757    0.176177   -2.230665    0.241761
   70    1.832084    0.120081   -2.254946    0.160032
   71    1.872291    0.184405   -2.240569    0.240366
   72    1.915507    0.125549   -2.265818    0.159201
   73    1.955825    0.192632   -2.251371    0.239269
   74    1.998929    0.131017   -2.277634    0.158478
   75    2.039359    0.200859   -2.263104    0.238200
   76    2.082352    0.136485   -2.290412    0.157693
   77    2.122893    0.209087   -2.275737    0.236924
   78    2.165775    0.141952   -2.304113    0.156695
   79    2.206427    0.217314   -2.289191    0.235217
   80    2.249197    0.147420   -2.318652    0.155336
   81    2.289961    0.225541   -2.303352    0.232861
   82    2.332620    0.152888   -2.333908    0.153467
   83    2.373495    0.233769   -2.318076    0.229632
   84    2.416042    0.158356   -2.349731    0.150928
   85    2.457029    0.241996   -2.333190    0.225282
   86    2.499465    0.163824   -2.365938    0.147542
   87    2.540563    0.250224   -2.348494    0.219536
   88    2.582887    0.169291   -2.382314    0.143105
   89    2.624097    0.258451   -2.363757    0.212072
   90    2.666310    0.174759   -2.398603    0.137374
   91    2.707631    0.266678   -2.378711    0.202510
   92    2.749732    0.180227   -2.414504    0.130060
   93    2.791165    0.274906   -2.393046    0.190392
   94    2.833155    0.185695   -2.429656    0.120808
   95    2.874699    0.283133   -2.406399    0.175158
   96    2.916578    0.191163   -2.443627    0.109178
   97    2.958233    0.291361   -2.418344    0.156120
   98    3.000000    0.196630   -2.455896    0.094624
   99    0.991445    0.130526   -1.995180    0.536173
  100    1.028588    0.169821   -2.023693    0.625257
  101    1.075135    0.141544   -2.067737    0.467829
  102    1.112478    0.183671   -2.074968    0.554317
  103    1.158824    0.152562   -2.112072    0.420952
  104    1.196368    0.197521   -2.106010    0.505586
  105    1.242514    0.163580   -2.139781    0.388521
  106    1.280258    0.211371   -2.125358    0.471917
  107    1.326204    0.174598   -2.157798    0.366026
  108    1.364148    0.225222   -2.138117    0.448663
  109    1.409894    0.185616   -2.170347    0.350470
  110    1.448038    0.239072   -2.147375    0.432703
  111    1.493584    0.196634   -2.180028    0.339804
  112    1.531927    0.252922   -2.155017    0.421878
  113    1.577273    0.207652   -2.188449    0.332586
  114    1.615817    0.266773   -2.162180    0.414654
  115    1.660963    0.218670   -2.196595    0.327777
  116    1.699707    0.280623   -2.169541    0.409909
  117    1.744653    0.229688   -2.205057    0.324604
  118    1.783597    0.294473   -2.177480    0.406803
  119    1.828343    0.240706   -2.214170    0.322477
  120    1.867487    0.308323   -2.186185    0.404683
  121    1.912033    0.251724   -2.224102    0.320929
  122    1.951377    0.322174   -2.195723    0.403022
  123    1.995722    0.262742   -2.234912    0.319575
  124    2.035267    0.336024   -2.206075    0.401383
  125    2.079412    0.273760   -2.246580    0.318085
  126    2.119156    0.349874   -2.217170    0.399376
  127    2.163102    0.284778   -2.259039    0.316160
  128    2.203046    0.363724   -2.228896    0.396646
  129    2.246792    0.295796   -2.272180    0.313513
  130    2.286936    0.377575   -2.241112    0.392841
  131    2.330482    0.306814   -2.285864    0.309853
  132    2.370826    0.391425   -2.253654    0.387603
  133    2.414171    0.317832   -2.299928    0.304876
  134    2.454716    0.405275   -2.266339    0.380546
  135    2.497861    0.328850   -2.314181    0.298243
  136    2.538606    0.419126   -2.278965    0.371241
  137    2.581551    0.339868   -2.328410    0.289568
  138    2.622496    0.432976   -2.291310    0.359198
  139    2.665241    0.350886   -2.342371    0.278401
  140    2.706385    0.446826   -2.303133    0.343846
  141    2.748931    0.361904   -2.355789    0.264206
  142    2.790275    0.460676   -2.314170    0.324503
  143    2.832620    0.372922   -2.368354    0.246334
  144    2.874165    0.474527   -2.324140    0.300357
  145    2.916310    0.383940   -2.379710    0.223996
  146    2.958055    0.488377   -2.332734    0.270422
  147    3.000000    0.394957   -2.389453    0.196220
  148    0.980785    0.195090   -1.970940    0.801790
  149    1.016088    0.236918   -1.987439    0.872949
  150    1.064919    0.211826   -2.031752    0.700682
  151    1.100510    0.256603   -2.026870    0.775543
  152    1.149053    0.228561   -2.067782    0.631713
  153    1.184931    0.276287   -2.049564    0.709075
  154    1.233187    0.245296   -2.089550    0.584265
  155    1.269353    0.295972   -2.062951    0.663474
  156    1.317321    0.262031   -2.103253    0.551552
  157    1.353775    0.315656   -2.071373    0.632226
  158    1.401455    0.278767   -2.112602    0.529087
  159    1.438197    0.335340   -2.077391    0.610980
  160    1.485589    0.295502   -2.119834    0.513816
  161    1.522619    0.355025   -2.082513    0.596741
  162    1.569723    0.312237   -2.126294    0.503594
  163    1.607040    0.374709   -2.087606    0.587385
  164    1.653857    0.328973   -2.132773    0.496881
  165    1.691462    0.394394   -2.093146    0.581369
  166    1.737991    0.345708   -2.139718    0.492533
  167    1.775884    0.414078   -2.099362    0.577533
  168    1.822125    0.362443   -2.147351    0.489680
  169    1.860306    0.433762   -2.106326    0.574984
  170    1.906259    0.379178   -2.155756    0.487634
  171    1.944728    0.453447   -2.114016    0.573004
  172    1.990393    0.395914   -2.164919    0.485832
  173    2.029149    0.473131   -2.122341    0.570996
  174    2.074527    0.412649   -2.174770    0.483792
  175    2.113571    0.492816   -2.131174    0.568437
  176    2.158661    0.429384   -2.185193    0.481078
  177    2.197993    0.512500   -2.140358    0.564850
  178    2.242795    0.446120   -2.196045    0.477280
  179    2.282415    0.532184   -2.149720    0.559772
  180    2.326928    0.462855   -2.207162    0.471987
  181    2.366837    0.551869   -2.159075    0.552737
  182    2.411062    0.479590   -2.218361    0.464770
  183    2.451258    0.571553   -2.168228    0.543256
  184    2.495196    0.496325   -2.229448    0.455162
  185    2.535680    0.591238   -2.176982    0.530792
  186    2.579330    0.513061   -2.240214    0.442642
  187    2.620102    0.610922   -2.185136    0.514749
  188    2.663464    0.529796   -2.250440    0.426612
  189    2.704524    0.630606   -2.192493    0.494446
  190    2.747598    0.546531   -2.259900    0.406371
  191    2.788946    0.650291   -2.198864    0.469098
  192    2.831732    0.563267   -2.268361    0.381097
  193    2.873367    0.669975   -2.204075    0.437790
  194    2.915866    0.580002   -2.275588    0.349806
  195    2.957789    0.689660   -2.207982    0.399454
  196    3.000000    0.596737   -2.281357    0.311322
  197    0.965926    0.258819   -1.937311    1.064442
  198    0.999504    0.303196   -1.939645    1.118233
  199    1.050679    0.281529   -1.981892    0.932263
  200    1.084632    0.329019   -1.963624    0.996259
  201    1.135432    0.304238   -2.006590    0.842808
  202    1.169759    0.354843   -1.975592    0.913789
  203    1.220185    0.326948   -2.020347    0.781759
  204    1.254887    0.380666   -1.981421    0.857755
  205    1.304938    0.349657   -2.028294    0.740037
  206    1.340014    0.406489   -1.984409    0.819781
  207    1.389691    0.372367   -2.033409    0.711681
  208    1.425141    0.432312   -1.986402    0.794309
  209    1.474444    0.395076   -2.037419    0.692651
  210    1.510269    0.458135   -1.988408    0.777534
