X-Axis Elements (average_x, sigma_xx, sigma_yy):
1.041492, 0.131017, 3.718379
1.124833, 0.319561, 3.109396
1.208173, 0.411742, 2.676206
1.291514, 0.448259, 2.357821
1.374855, 0.452413, 2.116675
1.458196, 0.437866, 1.928824
1.541537, 0.412771, 1.778528
1.624877, 0.382052, 1.655162
1.708218, 0.348701, 1.551364
1.791559, 0.314535, 1.461915
1.874900, 0.280651, 1.383027
1.958240, 0.247702, 1.311878
2.041581, 0.216068, 1.246314
2.124922, 0.185969, 1.184638
2.208263, 0.157536, 1.125463
2.291603, 0.130856, 1.067609
2.374944, 0.106011, 1.010026
2.458285, 0.083103, 0.951725
2.541626, 0.062277, 0.891728
2.624967, 0.043741, 0.829023
2.708307, 0.027794, 0.762508
2.791648, 0.014847, 0.690950
2.874989, 0.005464, 0.612921
2.958330, 0.000399, 0.526732

Y-Axis Elements (average_y, sigma_xx, sigma_yy):
1.041492, -1.612624, -0.044446
1.124833, -1.142116, -0.086016
1.208173, -0.821877, -0.058980
1.291514, -0.596362, 0.002292
1.374855, -0.432215, 0.079256
1.458196, -0.308695, 0.161815
1.541537, -0.212506, 0.244502
1.624877, -0.134879, 0.324434
1.708218, -0.069881, 0.400180
1.791559, -0.013388, 0.471131
1.874900, 0.037548, 0.537133
1.958240, 0.085097, 0.598271
2.041581, 0.130920, 0.654745
2.124922, 0.176342, 0.706793
2.208263, 0.222480, 0.754644
2.291603, 0.270327, 0.798489
2.374944, 0.320825, 0.838454
2.458285, 0.374920, 0.874590
2.541626, 0.433609, 0.906851
2.624967, 0.497987, 0.935075
2.708307, 0.569299, 0.958966
2.791648, 0.648993, 0.978064
2.874989, 0.738777, 0.991705
2.958330, 0.840702, 0.998979
