Nodal displacements
node#      x          y          u          v
    1    1.000000    0.000000   -1.971555    0.000000
    2    1.032896    0.067700   -2.004732    0.249360
    3    1.070000    0.000000   -2.043009    0.000000
    4    1.107977    0.072621   -2.062196    0.223278
    5    1.150000    0.000000   -2.096622    0.000000
    6    1.193068    0.078198   -2.103774    0.202489
    7    1.240000    0.000000   -2.134923    0.000000
    8    1.290672    0.084595   -2.133631    0.186499
    9    1.345000    0.000000   -2.162831    0.000000
   10    1.403292    0.091977   -2.155138    0.174813
   11    1.465000    0.000000   -2.183486    0.000000
   12    1.530929    0.100342   -2.171967    0.167093
   13    1.600000    0.000000   -2.200941    0.000000
   14    1.673582    0.109692   -2.188028    0.162588
   15    1.750000    0.000000   -2.219119    0.000000
   16    1.836255    0.120355   -2.207713    0.160255
   17    1.925000    0.000000   -2.242707    0.000000
   18    2.023956    0.132657   -2.234212    0.158909
   19    2.125000    0.000000   -2.274720    0.000000
   20    2.236684    0.146600   -2.269767    0.156807
   21    2.350000    0.000000   -2.317008    0.000000
   22    2.474438    0.162183   -2.314930    0.150969
   23    2.600000    0.000000   -2.369213    0.000000
   24    2.799786    0.183508   -2.382879    0.125267
   25    3.000000    0.000000   -2.444065    0.000000
   26    0.991445    0.130526   -1.952361    0.529916
   27    1.016122    0.202119   -1.958141    0.745289
   28    1.061744    0.139781   -2.015782    0.471963
   29    1.091842    0.217181   -2.001136    0.668961
   30    1.142086    0.150359   -2.062603    0.424761
   31    1.177659    0.234251   -2.030886    0.608620
   32    1.232471    0.162258   -2.095426    0.388326
   33    1.276095    0.253831   -2.051296    0.562672
   34    1.337921    0.176141   -2.118905    0.360676
   35    1.389676    0.276424   -2.065436    0.529535
   36    1.458434    0.192006   -2.136137    0.341620
   37    1.518401    0.302029   -2.076655    0.508076
   38    1.594011    0.209856   -2.150937    0.329904
   39    1.662270    0.330646   -2.088235    0.495974
   40    1.744653    0.229688   -2.166859    0.323682
   41    1.826331    0.363280   -2.103564    0.490098
   42    1.920402    0.252826   -2.187986    0.320618
   43    2.015633    0.400934   -2.124695    0.486904
   44    2.121257    0.279269   -2.216699    0.318043
   45    2.230174    0.443609   -2.152424    0.481217
   46    2.347220    0.309017   -2.253976    0.311491
   47    2.469956    0.491305   -2.185494    0.464440
   48    2.598289    0.342071   -2.298393    0.293286
   49    2.798079    0.556572   -2.229295    0.393862
   50    3.000000    0.394957   -2.357916    0.206287
   51    0.965926    0.258819   -1.895528    1.052118
   52    0.982859    0.333636   -1.866825    1.232811
   53    1.037118    0.277895   -1.935211    0.939914
   54    1.059849    0.359770   -1.881850    1.111973
   55    1.118481    0.299696   -1.962265    0.849633
   56    1.147104    0.389389   -1.889291    1.018078
   57    1.210015    0.324222   -1.979399    0.780932
   58    1.247192    0.423364   -1.892333    0.948103
   59    1.316804    0.352836   -1.990402    0.729730
   60    1.362677    0.462566   -1.893262    0.899089
   61    1.438848    0.385538   -1.998136    0.695341
   62    1.493560    0.506995   -1.894609    0.868780
   63    1.576148    0.422328   -2.005622    0.675074
   64    1.639841    0.556651   -1.898287    0.853109
   65    1.728704    0.463205   -2.015278    0.665158
   66    1.806653    0.613276   -1.905665    0.846884
   67    1.906685    0.510895   -2.029398    0.661011
   68    1.999128    0.678613   -1.916573    0.844228
   69    2.110093    0.565398   -2.048524    0.657292
   70    2.217267    0.752661   -1.929174    0.836759
   71    2.338926    0.626713   -2.071266    0.645407
   72    2.461069    0.835420   -1.939323    0.811425
   73    2.593185    0.694842   -2.093633    0.611308
   74    2.794693    0.948670   -1.940580    0.713443
   75    3.000000    0.803848   -2.111345    0.463249
   76    0.923880    0.382683   -1.803175    1.558840
   77    0.933677    0.460439   -1.734307    1.706216
   78    0.996544    0.412782   -1.804556    1.399809
   79    1.012545    0.499332   -1.709914    1.550345
   80    1.079589    0.447180   -1.800748    1.274611
   81    1.101928    0.543411   -1.687347    1.432606
   82    1.173014    0.485878   -1.794238    1.181753
   83    1.204455    0.593972   -1.668096    1.347993
   84    1.282010    0.531026   -1.787092    1.114831
   85    1.322756    0.652311   -1.652843    1.291769
   86    1.406578    0.582623   -1.781434    1.072118
   87    1.456830    0.718429   -1.642453    1.260099
   88    1.546716    0.640671   -1.778729    1.049180
   89    1.606678    0.792326   -1.636523    1.246953
   90    1.702425    0.705167   -1.779390    1.040210
   91    1.777557    0.876594   -1.633356    1.245162
   92    1.884085    0.780414   -1.782803    1.038577
   93    1.974725    0.973827   -1.629588    1.246632
   94    2.091697    0.866409   -1.786657    1.036318
   95    2.198183    1.084024   -1.620037    1.240307
   96    2.325261    0.963155   -1.786388    1.021514
   97    2.447929    1.207185   -1.597866    1.210922
   98    2.584776    1.070649   -1.775607    0.976657
   99    2.789687    1.375722   -1.545395    1.108507
  100    3.000000    1.242641   -1.734509    0.808995
  101    0.866025    0.500000   -1.678457    2.042168
  102    0.869419    0.580927   -1.565453    2.159607
  103    0.940715    0.543122   -1.629035    1.847544
  104    0.950739    0.635263   -1.493657    1.981771
  105    1.026073    0.592404   -1.586664    1.699397
  106    1.042901    0.696844   -1.437569    1.853040
  107    1.122102    0.647846   -1.552296    1.593885
  108    1.148617    0.767481   -1.395416    1.765873
  109    1.234136    0.712529   -1.525047    1.522072
  110    1.270597    0.848986   -1.364821    1.713346
  111    1.362174    0.786452   -1.505295    1.480517
  112    1.408841    0.941357   -1.343588    1.689592
  113    1.506218    0.869615   -1.491850    1.462723
  114    1.563349    1.044596   -1.327794    1.686447
  115    1.666266    0.962019   -1.482120    1.460778
  116    1.739542    1.162325   -1.311571    1.694951
  117    1.852989    1.069823   -1.471531    1.466316
  118    1.942841    1.298165   -1.287478    1.705081
  119    2.066386    1.193029   -1.454176    1.469006
  120    2.173248    1.452118   -1.246900    1.704195
  121    2.306458    1.331634   -1.422530    1.455081
  122    2.430761    1.624182   -1.181579    1.678094
  123    2.573205    1.485641   -1.369645    1.408110
  124    2.783147    1.859639   -1.064329    1.594055
  125    3.000000    1.732051   -1.258425    1.261255
  126    0.793353    0.608761   -1.524994    2.494028
  127    0.791183    0.693849   -1.366650    2.586839
  128    0.870586    0.668024   -1.415991    2.278832
  129    0.875489    0.767783   -1.243781    2.403292
  130    0.958852    0.735753   -1.332124    2.122950
  131    0.971035    0.851575   -1.156548    2.278694
  132    1.058151    0.811948   -1.270790    2.018865
  133    1.080633    0.947690   -1.096301    2.202695
  134    1.174000    0.900842   -1.226149    1.954941
  135    1.207092    1.058591   -1.055056    2.166052
  136    1.306399    1.002435   -1.194998    1.925491
  137    1.350412    1.184280   -1.025629    2.160668
  138    1.455347    1.116727   -1.172019    1.921795
  139    1.510594    1.324755   -0.999034    2.176084
  140    1.620846    1.243719   -1.150445    1.933804
  141    1.693257    1.484946   -0.963987    2.201802
  142    1.813927    1.391875   -1.120621    1.951936
  143    1.904022    1.669782   -0.908143    2.226575
  144    2.034592    1.561197   -1.072726    1.964095
  145    2.142889    1.879263   -0.819282    2.237730
  146    2.282840    1.751685   -0.996954    1.956986
  147    2.409858    2.113389   -0.689971    2.226219
  148    2.558671    1.963337   -0.888039    1.920618
  149    2.775184    2.433771   -0.482879    2.183221
  150    3.000000    2.301981   -0.685194    1.823613
  151    0.707107    0.707107   -1.348000    2.904773
  152    0.693849    0.791183   -1.160568    2.995809
  153    0.787358    0.787358   -1.173937    2.689015
  154    0.767783    0.875489   -1.005514    2.839250
  155    0.879074    0.879074   -1.052644    2.543252
  156    0.851575    0.971035   -0.895656    2.734783
  157    0.982254    0.982254   -0.971814    2.455832
  158    0.947690    1.080633   -0.819748    2.674385
  159    1.102631    1.102631   -0.917067    2.413255
  160    1.058591    1.207092   -0.767207    2.651659
  161    1.240204    1.240204   -0.879186    2.407704
  162    1.184280    1.350412   -0.728792    2.660393
  163    1.394975    1.394975   -0.846731    2.428147
  164    1.324755    1.510594   -0.693501    2.691717
  165    1.566942    1.566942   -0.807366    2.462164
  166    1.484946    1.693257   -0.647831    2.736454
  167    1.767570    1.767570   -0.745191    2.499916
  168    1.669782    1.904022   -0.576524    2.785902
  169    1.996859    1.996859   -0.645189    2.528323
  170    1.879263    2.142889   -0.464293    2.828832
  171    2.254810    2.254810   -0.496931    2.538547
  172    2.113389    2.409858   -0.299783    2.858720
  173    2.541421    2.541421   -0.301816    2.532517
  174    2.433771    2.775184   -0.028172    2.883777
  175    3.000000    3.000000    0.032014    2.518041
  176    0.608761    0.793353   -1.156142    3.276130
  177    0.580927    0.869419   -0.957801    3.374542
  178    0.668024    0.870586   -0.972181    3.124977
  179    0.635263    0.950739   -0.802013    3.267761
  180    0.735753    0.958852   -0.837240    3.013294
  181    0.696844    1.042901   -0.686790    3.190797
  182    0.811948    1.058151   -0.742586    2.939835
  183    0.767481    1.148617   -0.603566    3.142950
  184    0.900842    1.174000   -0.675616    2.899817
  185    0.848986    1.270597   -0.544108    3.123711
  186    1.002435    1.306399   -0.628986    2.891867
  187    0.941357    1.408841   -0.501268    3.132268
  188    1.116727    1.455347   -0.593059    2.911336
  189    1.044596    1.563349   -0.466021    3.165099
  190    1.243719    1.620846   -0.557206    2.951331
  191    1.162325    1.739542   -0.426802    3.218219
  192    1.391875    1.813927   -0.506910    3.006675
  193    1.298165    1.942841   -0.369884    3.286958
  194    1.561197    2.034592   -0.427157    3.068304
  195    1.452118    2.173248   -0.279131    3.362757
  196    1.751685    2.282840   -0.301224    3.126590
  197    1.624182    2.430761   -0.135886    3.436867
  198    1.963337    2.558671   -0.115680    3.176893
  199    1.859639    2.783147    0.136932    3.520804
  200    2.301981    3.000000    0.242655    3.249555
  201    0.500000    0.866025   -0.945441    3.594582
  202    0.460439    0.933677   -0.749740    3.692557
  203    0.543122    0.940715   -0.773173    3.503280
  204    0.499332    1.012545   -0.609852    3.632735
  205    0.592404    1.026073   -0.641410    3.431270
  206    0.543411    1.101928   -0.502977    3.587093
  207    0.647846    1.122102   -0.545046    3.381171
  208    0.593972    1.204455   -0.423164    3.558450
  209    0.712529    1.234136   -0.474247    3.353328
  210    0.652311    1.322756   -0.364552    3.549580
