X-Axis Elements (average_x, sigma_xx, sigma_yy):
1.034299, 0.092554, 3.711096
1.109326, 0.277157, 3.157727
1.194356, 0.386009, 2.705248
1.291891, 0.434719, 2.335018
1.404431, 0.437431, 2.031849
1.531976, 0.406890, 1.787294
1.674527, 0.355471, 1.588863
1.837085, 0.290845, 1.418774
2.024652, 0.219013, 1.263594
2.237228, 0.146089, 1.113451
2.474813, 0.077401, 0.954075
2.799929, 0.019406, 0.688446

Y-Axis Elements (average_y, sigma_xx, sigma_yy):
1.034299, -1.601454, -0.019037
1.109326, -1.175769, -0.068331
1.194356, -0.841861, -0.051782
1.291891, -0.581076, 0.015267
1.404431, -0.377689, 0.118363
1.531976, -0.220843, 0.242627
1.674527, -0.097130, 0.375248
1.837085, 0.009854, 0.511015
2.024652, 0.113622, 0.645093
2.237228, 0.226853, 0.770482
2.474813, 0.367568, 0.881161
2.799929, 0.654548, 0.969602
