Nodal displacements
node#  x  y  z  u  v  w
   1   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
   2   1.000000   0.000000   0.000000   0.000000   0.000000   0.000000
   3   1.000000   1.000000   0.000000   0.000000   0.000000   0.000000
   4   0.000000   1.000000   0.000000   0.000000   0.000000   0.000000
   5   0.000000   0.000000   1.000000  -0.035281  -0.049163  -0.017489
   6   1.000000   0.000000   1.000000  -0.025786  -0.113181  -0.018100
   7   1.000000   1.000000   1.000000   0.023729  -0.152819   0.026735
   8   0.000000   1.000000   1.000000   0.025786  -0.044577   0.014573

External forces
node#  x  y  z  fx  fy  fz
   1   0.000000   0.000000   0.000000   0.015516   0.010608   0.043613
   2   1.000000   0.000000   0.000000   0.006290   0.044577   0.056387
   3   1.000000   1.000000   0.000000  -0.003965   0.033616  -0.056387
   4   0.000000   1.000000   0.000000  -0.017842   0.011198  -0.043613
   5   0.000000   0.000000   1.000000  -0.000000   0.000000   0.000000
   6   1.000000   0.000000   1.000000   0.000000   0.000000   0.000000
   7   1.000000   1.000000   1.000000   0.000000  -0.100000   0.000000
   8   0.000000   1.000000   1.000000  -0.000000  -0.000000  -0.000000

Element axial strains and forces
ele#      strain       force        L
   1   0.000000   0.000000   1.000000
   2   0.000000   0.000000   1.000000
   3   0.000000   0.000000   1.000000
   4   0.000000   0.000000   1.000000
   5   0.009494   0.009494   1.000000
   6  -0.039638  -0.039638   1.000000
   7  -0.002057  -0.002057   1.000000
   8   0.004586   0.004586   1.000000
   9  -0.017489  -0.017489   1.000000
  10  -0.018100  -0.018100   1.000000
  11   0.026735   0.026735   1.000000
  12   0.014573   0.014573   1.000000
  13   0.000000   0.000000   1.414214
  14   0.000000   0.000000   1.414214
  15  -0.021943  -0.021943   1.414214
  16   0.008896   0.008896   1.414214
  17  -0.063042  -0.063042   1.414214
  18   0.047540   0.047540   1.414214
  19  -0.005607  -0.005607   1.414214
  20   0.025232   0.025232   1.414214
  21  -0.015002  -0.015002   1.414214
  22   0.015837   0.015837   1.414214
  23  -0.022323  -0.022323   1.414214
  24   0.008516   0.008516   1.414214
